fecha,establecimiento,importe,page
29.08.2025,AMZN Mktp ES*RK8J23XE4 800-279-6620,32.90,1
02.09.2025,ESTANC 289 BARCELONA,11.05,1
02.09.2025,CAFES SALVADOR BARCELONA,140.01,1
02.09.2025,BON AREA GUISSONA,3.72,1
03.09.2025,EUROFITNESS CAN DRAGO BARCELONA,41.40,1
03.09.2025,SAGRARIO GIL BARCELONA,35.20,1
04.09.2025,CORP ALIM GUISSONA MAJOR GUISSONA,1337.96,1
09.09.2025,LIDL BCN-BARCELONETA BARCELONA,1.89,1
09.09.2025,BON AREA GUISSONA,2.44,1
10.09.2025,A.PONS VESTUARI DE TREBAL BARCELONA,225.50,1
10.09.2025,"CAPRABO BCN\PLAZA FONT, 1 BARCELONA",24.98,1
10.09.2025,T MOBILITAT. APP HOSPITALET DE,12.55,1
10.09.2025,T MOBILITAT. APP HOSPITALET DE,12.55,1
11.09.2025,CORP ALIM GUISSONA MAJOR GUISSONA,409.73,1
12.09.2025,LIDL BCN-BARCELONETA BARCELONA,5.95,1
12.09.2025,CAFES SALVADOR BARCELONA,140.01,1
14.09.2025,La CASSOLA TRELAWNY CAL,791.00,1
15.09.2025,BARCELONA OP BARCELONA,34.74,1
16.09.2025,T MOBILITAT. APP HOSPITALET DE,12.55,1
18.09.2025,BON AREA GUISSONA,11.80,2
18.09.2025,T MOBILITAT. APP HOSPITALET DE,12.55,2
18.09.2025,T MOBILITAT. APP HOSPITALET DE,12.55,2
19.09.2025,BSH ELECTRODOMESTICOS ZARAGOZA,123.48,2
19.09.2025,RENFE VIRTUAL INTERNET MADRID,100.50,2
19.09.2025,RENFE VIRTUAL INTERNET MADRID,-54.10,2
19.09.2025,RENFE VIRTUAL INTERNET MADRID,46.40,2
19.09.2025,CAFES SALVADOR BARCELONA,140.01,2
22.09.2025,BARCELONA OP BARCELONA,34.74,2
23.09.2025,T MOBILITAT. APP HOSPITALET DE,12.55,2
25.09.2025,CORP ALIM GUISSONA MAJOR GUISSONA,1896.02,2
26.09.2025,makro.es O25-531673481 Dusseldorf,67.59,2
26.09.2025,T MOBILITAT. APP HOSPITALET DE,12.55,2
26.09.2025,T MOBILITAT. APP HOSPITALET DE,22.00,2
29.09.2025,JORDI RIBAS BARCELONA,57.30,2
29.09.2025,RENFE VIRTUAL INTERNET MADRID,177.80,2
30.09.2025,T MOBILITAT. APP HOSPITALET DE,12.55,2
30.09.2025,BON AREA GUISSONA,44.54,2
30.09.2025,LIDL BCN-BARCELONETA BARCELONA,12.58,2
30.09.2025,REGALOS Y HOGAR BARCELONA,13.00,2
